,dist,temp,dTdP,pco20,gamma,popDeath,declineTime,peakPopList,carryCapList,anthroPopList,tempError,timeLeftMin,percentDone,timeElapsedMinutes,logGamma,logdTdP,logpco20,logpopDeath,logdeclineTime,logAnthroPop
17,0.934,316.73974358974357,,,,,,,10.0,,,25.065216817174637,1.12,0.28391022284825645,,,,,,
18,0.934,319.30384615384617,,,,,,,10.0,,,24.960987432664183,1.19,0.30061304569244385,,,,,,
19,0.934,321.8679487179487,,,,,,,10.0,,,24.99037228425344,1.25,0.31633382638295493,,,,,,
20,0.934,324.43205128205125,,,,,,,10.0,,,25.022928756460278,1.31,0.33215155204137164,,,,,,
21,0.934,326.99615384615385,,,,,,,10.0,,,24.874039770151686,1.38,0.34806504646937053,,,,,,
22,0.934,329.5602564102564,,,,,,,10.0,,,24.969453977655483,1.44,0.36481345097223916,,,,,,
23,0.934,332.124358974359,0.1287750157391604,52.417,0.8853282332067277,100.8916617,47.096509240246405,0.8771040761000001,10.0,11.295245791246511,0.0066410256409881185,36.226541029082405,1.5,0.5516732136408488,-0.05289568586467091,-0.8901683883669711,1.7194721611979684,2.0038552749850123,1.6729887187237937,1.052895685864671
24,0.934,334.6884615384615,0.11971705728632956,73.089,0.8230547688435156,123.9230864,44.09034907597538,0.9330656296,10.0,12.14985974025899,0.04153846153849372,47.3016600597618,1.56,0.7495996514956157,-0.08457126440485344,-0.9218439669071536,1.8638520199294937,2.0931522213247202,1.6443435372742639,1.0845712644048533
25,0.934,337.25256410256407,0.12157303139262503,97.061,0.8358145908242971,126.2501991,42.08624229979455,0.8567541406,10.0,11.964375963020457,0.36643589743596294,59.23067796446168,1.62,0.9753374497095744,-0.0778900516427778,-0.9151627541450781,1.987044761451188,2.1012320716854567,1.6241401511859757,1.0778900516427778
26,0.934,339.81666666666666,0.13064467965094906,120.556,0.8981821726002748,93.82345872,43.088295687884965,0.6612223482,10.0,11.133598845598975,0.7023333333333426,66.80946463515772,1.69,1.1484894235928853,-0.04663556920000524,-0.8839082717023055,2.0811888298279198,1.9723114387936513,1.6343593163676624,1.0466355692000051
27,0.934,342.3807692307692,0.14797053550212821,138.879,1.0172974315771315,55.95960954,46.09445585215599,0.4592453886,10.0,9.829966821499637,0.6372307692307686,72.54107295445033,1.75,1.2920801798502604,0.007447948013636768,-0.8298247544886636,2.142636580700753,1.7478746755264554,1.6636486924696496,0.9925520519863632
28,0.934,344.9448717948718,0.17804892417864543,152.767,1.2240863537281872,29.69112167,50.10266940451743,0.2894106084,10.0,8.169358288770315,0.2851282051282169,78.33089674204093,1.81,1.4439242601394653,0.0878120563918799,-0.7494606461104203,2.184029550144605,1.4726266046654255,1.6998608651240947,0.91218794360812
29,0.934,347.50897435897434,0.2460891043820394,163.965,1.691862592626521,12.14232884,56.114989733059474,0.1499408317,10.0,5.910645488340495,0.015025641025658842,82.66772711496827,1.88,1.5839311758677164,0.22836508820222395,-0.6089076143000762,2.2147511533581774,1.0843019903112314,1.7490788877942762,0.771634911797776
30,0.934,350.0730769230769,,,,,,,10.0,,,83.68841734829637,1.94,1.6556753993034363,,,,,,
31,0.934,352.6371794871795,,,,,,,10.0,,,83.29302943547567,2.0,1.6998577435811362,,,,,,
32,0.934,355.201282051282,,,,,,,10.0,,,82.93149804486426,2.06,1.744321890672048,,,,,,
33,0.934,357.7653846153846,,,,,,,10.0,,,82.45871563587548,2.12,1.7859877109527589,,,,,,
34,0.934,360.32948717948716,,,,,,,10.0,,,81.69916443314908,2.19,1.8292727748552957,,,,,,
35,0.934,362.8935897435897,,,,,,,10.0,,,81.33785658898178,2.25,1.872226878007253,,,,,,
36,0.934,365.4576923076923,,,,,,,10.0,,,81.1463357260905,2.31,1.9188047448794048,,,,,,
37,0.934,368.02179487179484,,,,,,,10.0,,,80.55254366518069,2.38,1.9638911485671997,,,,,,
38,0.934,370.58589743589744,,,,,,,10.0,,,80.32164994497768,2.44,2.0088645537694294,,,,,,
39,0.934,373.15,,,,,,,10.0,,,80.09812277555466,2.5,2.053798019886017,,,,,,
40,0.9394615384615385,273.15,,,,,,,10.0,,,78.75682536065578,2.56,2.069144837061564,,,,,,
41,0.9394615384615385,275.7141025641025,,,,,,,10.0,,,77.44896884374036,2.62,2.0837574283281963,,,,,,
42,0.9394615384615385,278.2782051282051,,,,,,,10.0,,,75.89228129741429,2.69,2.0979368686676025,,,,,,
43,0.9394615384615385,280.84230769230766,,,,,,,10.0,,,74.68683297778621,2.75,2.1119669993718464,,,,,,
44,0.9394615384615385,283.40641025641025,,,,,,,10.0,,,73.58433371110601,2.81,2.1275026003519693,,,,,,
45,0.9394615384615385,285.9705128205128,,,,,,,10.0,,,72.24212472416738,2.88,2.142270584901174,,,,,,
46,0.9394615384615385,288.53461538461534,,,,,,,10.0,,,71.2252656508195,2.94,2.157451895872752,,,,,,
47,0.9394615384615385,291.09871794871793,,,,,,,10.0,,,70.21472632222705,3.0,2.171589473883311,,,,,,
48,0.9394615384615385,293.6628205128205,,,,,,,10.0,,,69.35938009395059,3.06,2.1893924395243327,,,,,,
49,0.9394615384615385,296.2269230769231,,,,,,,10.0,,,68.44500086929044,3.12,2.204256840546926,,,,,,
50,0.9394615384615385,298.7910256410256,,,,,,,10.0,,,67.33826879259186,3.19,2.218872817357381,,,,,,
51,0.9394615384615385,301.3551282051282,,,,,,,10.0,,,66.47975132373664,3.25,2.233169941107432,,,,,,
52,0.9394615384615385,303.91923076923075,,,,,,,10.0,,,65.65772229760793,3.31,2.247668433189392,,,,,,
53,0.9394615384615385,306.4833333333333,,,,,,,10.0,,,64.69268726277397,3.38,2.263105805714925,,,,,,
54,0.9394615384615385,309.0474358974359,,,,,,,10.0,,,63.94872316547143,3.44,2.2782063762346905,,,,,,
55,0.9394615384615385,311.61153846153843,,,,,,,10.0,,,63.297719744273586,3.5,2.2957722187042235,,,,,,
56,0.9394615384615385,314.175641025641,,,,,,,10.0,,,62.62893802824984,3.56,2.311893606185913,,,,,,
57,0.9394615384615385,316.73974358974357,,,,,,,10.0,,,61.94188000297459,3.62,2.3265159328778586,,,,,,
58,0.9394615384615385,319.30384615384617,0.22757835936682996,19.334,1.5646012206469557,19.82353533,81.16632443531807,0.5004672533,10.0,6.39140495868017,0.16015384615383255,64.34630125135371,3.69,2.4653499285380045,0.19440366473144957,-0.6428690377708506,1.2863217142568693,1.297181109149923,1.909375879666725,0.8055963352685503
59,0.9394615384615385,321.8679487179487,0.15327549737902232,32.621,1.0537690444807783,82.30723209,59.1211498973305,1.102891128,10.0,9.489745454543392,0.01605128205130768,67.35876367489497,3.75,2.624367415904999,0.022745436589546857,-0.8145272659127534,1.5134972702488667,1.9154379970444295,1.7717428724302198,0.9772545634104531
60,0.9394615384615385,324.43205128205125,0.10719866274210149,55.038,0.7369908063519477,420.8211842,38.078028747433336,2.4527266930000002,10.0,13.56869029275859,0.2779487179487319,70.74477575286271,3.81,2.8021373907725016,-0.13253792974681217,-0.9698106322491125,1.7406626438912405,2.6240975941437585,1.5806744574048872,1.132537929746812
