,dist,temp,gamma,pco2,dTdP,popDeath,logPopDeath,logpco20,logGamma,logdTdP,tFreeFall,tyear,logtYear
849,1.0486923076923078,296.2269230769231,0.004338210898736008,41362.097,0.0003155062471808006,3.893572907,0.5903483112554481,4.6166025487619535,-2.362689338921431,-3.5009920370877126,230.50977081159482,5762.744270289871,3.7606293475934685
850,1.0486923076923078,298.7910256410256,0.003700118431592894,50353.118,0.00026909952229766504,3.454101952,0.5383351521479325,4.702026368400422,-2.4317843750237813,-3.5700870731900625,270.2616195907821,6756.540489769553,3.829724383695819
851,1.0486923076923078,301.3551282051282,0.003148220666302224,60927.273,0.00022896150300379814,2.555621978,0.40749661434939666,4.78481174028505,-2.5019348345090666,-3.640237532675348,317.63974193542174,7940.993548385543,3.899874843181104
852,1.0486923076923078,303.91923076923075,0.002467733485605542,72992.08,0.0001794715262258576,1.813332388,0.25847741857052636,4.863275739587616,-2.607701745765573,-3.7460044439318545,405.2301457321337,10130.753643303342,4.005641754437611
853,1.0486923076923078,306.4833333333333,0.002273984522481289,87978.831,0.00016538069254409373,1.515296801,0.18049770637758442,4.944378187083647,-2.6432124955954457,-3.781515193761727,439.7567310215623,10993.918275539058,4.041152504267483
854,1.0486923076923078,309.0474358974359,0.001963216335477793,104356.813,0.0001427793698529304,1.217123519,0.08533465456369188,5.018520807514726,-2.7070318409361676,-3.845334539102449,509.36821476509743,12734.205369127436,4.104971849608205
855,1.0486923076923078,311.61153846153843,0.0016939832429622834,123783.692,0.0001231987813063479,0.9732843943,-0.01176024007240865,5.092663431914034,-2.7710908900649387,-3.9093935882312203,590.3246116244286,14758.115290610715,4.169030898736977
856,1.0486923076923078,314.175641025641,0.0014557570603612102,146873.751,0.00010587324075354257,0.7180863449,-0.1438233317200729,5.166944186433756,-2.8369110949046505,-3.975213793070932,686.927803566259,17173.195089156474,4.2348511035766885
857,1.0486923076923078,316.73974358974357,0.001259488922874543,172490.6,9.159919439087586e-05,0.5832524296,-0.2341434434306083,5.236765432862257,-2.899805647741586,-4.038108345907867,793.9728423475856,19849.32105868964,4.297745656413623
858,1.0486923076923078,319.30384615384617,0.0010860154335627546,202575.39,7.89829406227458e-05,0.450910812,-0.3459093509971728,5.306586683687678,-2.9641640028654836,-4.102466701031765,920.797227272752,23019.9306818188,4.362104011537522
859,1.0486923076923078,321.8679487179487,0.0009359909509529784,237983.07,6.807206916021661e-05,0.3427090228,-0.46507446136917807,5.37654606265692,-3.02872834994799,-4.167031048114271,1068.386397306353,26709.659932658826,4.426668358620027
860,1.0486923076923078,324.43205128205125,0.0008043649600493909,279490.668,5.849926982177389e-05,0.2841152516,-0.546505452275185,5.446367311672299,-3.094546856509717,-4.232849554675998,1243.2167606338749,31080.41901584687,4.492486865181755
861,1.0486923076923078,326.99615384615385,0.000698102920429642,324987.897,5.077112148579215e-05,0.2244247383,-0.6489292725717523,5.511867187551217,-3.156080545171053,-4.294383243337334,1432.4535404959454,35811.33851239864,4.554020553843091
862,1.0486923076923078,329.5602564102564,0.0006014820501905482,379479.321,4.374414910476714e-05,0.1631300719,-0.7874659723969375,5.579188114828912,-3.2207773286225807,-4.359080026788862,1662.5600043811817,41564.00010952954,4.618717337294618
863,1.0486923076923078,332.124358974359,0.0005203379939009012,443942.212,3.784276319279282e-05,0.1361258788,-0.8660593035134231,5.647326441639644,-3.283714461747483,-4.422017159913764,1921.827757575686,48045.69393939215,4.681654470419521
864,1.0486923076923078,334.6884615384615,0.0004540946699100683,513246.5,3.3025066902550424e-05,0.1016257844,-0.9929960892770695,5.710325996453015,-3.342853595747637,-4.4811562939139185,2202.1839635291167,55054.599088227915,4.740793604419674
865,1.0486923076923078,337.25256410256407,0.00039282689107230826,596795.956,2.856922844162242e-05,0.08764675081,-1.057264179187336,5.775825871614687,-3.4057987901198783,-4.5441014882861595,2545.650572114037,63641.26430285093,4.803738798791915
866,1.0486923076923078,339.81666666666666,0.00034036508110720176,696862.026,2.4753824080523762e-05,0.06553367004,-1.1835355098480873,5.843146799219291,-3.4680550016436817,-4.606357699809964,2938.0217169958128,73450.54292489532,4.86599501031572
867,1.0486923076923078,342.3807692307692,0.00029640682122523894,807167.659,2.1556859725471927e-05,0.05680186434,-1.245637409724073,5.906963752585621,-3.5281118061367254,-4.666414504303007,3373.741521421,84343.538035525,4.926051814808763
868,1.0486923076923078,344.9448717948718,0.0002593295815515764,933175.454,1.8860333203751014e-05,0.04542494059,-1.3427056320210737,5.96996330670492,-3.5861479407244485,-4.72445063889073,3856.096917355016,96402.4229338754,4.9840879493964865
869,1.0486923076923078,347.50897435897434,0.00022619225832225143,1085083.556,1.6450346059800106e-05,0.04250807107,-1.3715286019879886,6.035463181974902,-3.6455222633604447,-4.783824961526726,4421.017798828998,110525.44497072494,5.043462272032483
870,1.0486923076923078,350.0730769230769,0.0001998198102946658,1242056.529,1.4532349839612058e-05,0.02942970612,-1.5312140746689784,6.094141362083789,-3.6993614576757765,-4.837664155842058,5004.508804834428,125112.72012086069,5.0973014663478144
871,1.0486923076923078,352.6371794871795,0.00017260258178355072,1429946.745,1.2552915038803688e-05,0.02397695377,-1.6202059940860434,6.15531986349072,-3.7629527124101276,-4.901255410576409,5793.656095214338,144841.40238035846,5.160892721082165
872,1.0486923076923078,355.201282051282,0.00015530275019316433,1646783.458,1.129474546859377e-05,0.01893025624,-1.7228435073851271,6.216636495843422,-3.808820853459208,-4.94712355162549,6439.036003909834,160975.90009774585,5.206760862131246
873,1.0486923076923078,357.7653846153846,0.00013743486348981684,1895898.125,9.995262799259406e-06,0.01351022408,-1.869337447728491,6.277814997063741,-3.861903084593411,-5.000205782759692,7276.174142480918,181904.35356202294,5.259843093265448
874,1.0486923076923078,360.32948717948716,0.00012228320973756455,2170167.111,8.89332434455015e-06,0.01488978599,-1.8271115442914776,6.336493177438762,-3.912633170264744,-5.050935868431026,8177.737582666731,204443.43956666827,5.310573178936782
875,1.0486923076923078,362.8935897435897,0.00010985384668552885,2459517.879,7.989370668038463e-06,0.01388736482,-1.8573801554652107,6.390849983928414,-3.959184731050714,-5.097487429216995,9103.003947259418,227575.09868148546,5.357124739722751
