,dist,temp,dTdP,pco20,gamma,popDeath,declineTime,peakPopList,carryCapList,anthroPopList,tempError,logGamma,logdTdP,logpco20,logpopDeath,logdeclineTime,logAnthroPop
1026,1.0705384615384617,339.81666666666666,1.9744704249295036e-05,964815.667,0.0002714896834278067,0.05643512478,445060.9697193295,9.999252718,10.0,36833.81214984234,0.1223333333333585,-3.5662466688946646,-4.704549367060946,5.984444347072614,-1.2484505103782397,5.648419509854852,4.566246668894665
1027,1.0705384615384617,342.3807692307692,1.6869473015442615e-05,1144078.418,0.00023195525396233597,0.03460599618,632910.9440536057,9.999488740999999,10.0,43111.763278376806,0.8282307692307995,-3.6345957859345788,-4.77289848410086,6.058455793108663,-1.4608486444943154,5.801342605393297,4.634595785934579
1028,1.0705384615384617,344.9448717948718,1.511946840353358e-05,1286420.89,0.0002078926905485867,0.03685396456,672229.0917751672,9.999404728,10.0,48101.73928487829,0.5311282051281978,-3.68216078007796,-4.820463478244242,6.10938308390598,-1.433515786124675,5.827517303319465,4.68216078007796
1029,1.0705384615384617,347.50897435897434,1.3292358079243702e-05,1485816.127,0.0001827699235896009,0.03300049698,893761.3271137167,9.999574143,10.0,54713.597311855374,0.7950256410256316,-3.7380952697277254,-4.876397967894007,6.171965067856465,-1.4814795196964643,5.951221558889484,4.738095269727725
1030,1.0705384615384617,350.0730769230769,1.220633112231129e-05,1634397.74,0.00016783705293178024,0.02480320324,1090435.6137903056,9.999654835,10.0,59581.599088638926,0.12092307692313398,-3.775112154905418,-4.913414853071699,6.213357753094406,-1.6054922280600137,6.0376000271810115,4.775112154905417
1031,1.0705384615384617,352.6371794871795,1.0520144258810102e-05,1929631.334,0.0001446519835586389,0.0173870766,1293704.5702867142,9.999633104,10.0,69131.44053739303,0.88882051282053,-3.8396756066570976,-4.977978304823379,6.285474342736595,-1.7597734325583438,6.1118351123892385,4.839675606657098
1032,1.0705384615384617,355.201282051282,9.430079117487294e-06,2179196.987,0.00012966358786545027,0.015741044,1533972.8252806347,9.999715377000001,10.0,77122.65381995159,0.8097179487180028,-3.887181965390768,-5.02548466355705,6.338296489769136,-1.8029664671228793,6.18581766604373,4.887181965390768
1033,1.0705384615384617,357.7653846153846,8.510137805085153e-06,2455894.426,0.00011701439481992084,0.01343675957,1915161.2271911944,9.999780369,10.0,85459.57115267302,0.7246153846153902,-3.931760709140024,-5.070063407306305,6.39020969341737,-1.8717054537931903,6.2822053407757,4.931760709140024
1034,1.0705384615384617,360.32948717948716,7.847538995557264e-06,2701483.868,0.00010790366118891238,0.01356856651,1908372.7668684248,9.999706673999999,10.0,92675.2613379123,0.16051282051284943,-3.9669638193841283,-5.10526651755041,6.4316023784791385,-1.8674660321988925,6.28066321040043,4.966963819384128
1035,1.0705384615384617,362.8935897435897,6.970457507934242e-06,3113138.553,9.584379073409582e-05,0.008882123459,2507939.0532843075,9.999794584,10.0,104336.44082112212,0.6364102564102723,-4.01843601776003,-5.156738715926311,6.493198449774809,-2.0514831945501153,6.399316978273539,5.01843601776003
