,dist,temp,dTdP,pco20,gamma,popDeath,declineTime,peakPopList,carryCapList,anthroPopList,tempError,timeLeftMin,percentDone,timeElapsedMinutes,logGamma,logdTdP,logpco20,logpopDeath,logdeclineTime,logAnthroPop,normCollapseTime,logCollapseTime,logAnthroPopPpl
0,0.934,273.15,,,,,,,10.0,,,31.0367509815428,0.06,0.018633230527242025,,,,,,,,,
1,0.934,275.7141025641025,,,,,,,10.0,,,33.41166665289138,0.12,0.04014217058817546,,,,,,,,,
2,0.934,278.2782051282051,,,,,,,10.0,,,33.26249322953977,0.19,0.06331904331843058,,,,,,,,,
3,0.934,280.84230769230766,,,,,,,10.0,,,40.1134552359581,0.25,0.10053497552871704,,,,,,,,,
4,0.934,283.40641025641025,,,,,,,10.0,,,39.37240859923824,0.31,0.12243401209513347,,,,,,,,,
5,0.934,285.9705128205128,,,,,,,10.0,,,37.79572614326812,0.38,0.14417161146799723,,,,,,,,,
6,0.934,288.53461538461534,,,,,,,10.0,,,37.453483723871635,0.44,0.165523632367452,,,,,,,,,
7,0.934,291.09871794871793,,,,,,,10.0,,,36.980250863234204,0.5,0.18583040634791057,,,,,,,,,
8,0.934,293.6628205128205,,,,,,,10.0,,,36.97050862085251,0.56,0.20820077260335287,,,,,,,,,
9,0.934,296.2269230769231,,,,,,,10.0,,,36.889568750191756,0.62,0.2301422079404195,,,,,,,,,
10,0.934,298.7910256410256,,,,,,,10.0,,,36.69757368414874,0.69,0.25497256914774574,,,,,,,,,
11,0.934,301.3551282051282,,,,,,,10.0,,,36.51029108365376,0.75,0.27589640617370603,,,,,,,,,
12,0.934,303.91923076923075,,,,,,,10.0,,,36.38101646527341,0.81,0.2970926841100057,,,,,,,,,
13,0.934,306.4833333333333,,,,,,,10.0,,,35.79502550146797,0.88,0.31779280106226604,,,,,,,,,
14,0.934,309.0474358974359,,,,,,,10.0,,,36.63105337848055,0.94,0.3475993355115255,,,,,,,,,
15,0.934,311.61153846153843,,,,,,,10.0,,,36.504409325122836,1.0,0.36873140732447307,,,,,,,,,
16,0.934,314.175641025641,,,,,,,10.0,,,36.440338389153744,1.06,0.3904058893521627,,,,,,,,,
17,0.934,316.73974358974357,,,,,,,10.0,,,36.36530737536294,1.12,0.411904776096344,,,,,,,,,
18,0.934,319.30384615384617,,,,,,,10.0,,,36.01020339587156,1.19,0.4336822390556335,,,,,,,,,
19,0.934,321.8679487179487,,,,,,,10.0,,,35.96857704718908,1.25,0.45529844363530475,,,,,,,,,
20,0.934,324.43205128205125,,,,,,,10.0,,,35.91074767573796,1.31,0.47667524019877117,,,,,,,,,
21,0.934,326.99615384615385,,,,,,,10.0,,,35.56164427909298,1.38,0.4976178169250488,,,,,,,,,
22,0.934,329.5602564102564,,,,,,,10.0,,,35.54556344350179,1.44,0.5193345308303833,,,,,,,,,
23,0.934,332.124358974359,0.1287750157391604,52.417,17.706564664134554,0.01270056918,223.45790554414782,0.002470911375,10.0,0.5647622895623254,0.0066410256409881185,53.58578562604057,1.5,0.8160271922747294,1.2481343097993103,-0.8901683883669711,1.7194721611979684,-1.8961768155641896,2.349195723836237,-0.24813430979931034,1.0,1.3979400086720377,8.75186569020069
24,0.934,334.6884615384615,0.11971705728632956,73.089,16.46109537687031,0.008554226649,251.51540041067767,0.002086048557,10.0,0.6074929870129495,0.04153846153849372,72.55802690748475,1.56,1.1498427669207254,1.2164587312591277,-0.9218439669071536,1.8638520199294937,-2.0678192470525527,2.4005645822691144,-0.21645873125912776,1.0,1.3979400086720377,8.783541268740873
25,0.934,337.25256410256407,0.12157303139262503,97.061,16.716291816485942,0.003311569383,321.65913757700207,0.001303975216,10.0,0.5982187981510229,0.36643589743596294,90.06949030970348,1.62,1.4831528186798095,1.2231399440212034,-0.9151627541450781,1.987044761451188,-2.4799661413151544,2.5073958931929483,-0.22313994402120343,1.0,1.3979400086720377,8.776860055978796
26,0.934,339.81666666666666,0.13064467965094906,120.556,17.963643452005496,0.03871397909,654.9200720048315,0.001082659958,10.0,0.5566799422799488,0.7023333333333426,101.04563533991752,1.69,1.7370269934336344,1.254394426463976,-0.8839082717023055,2.0811888298279198,-1.4121321888458975,2.8161883008996456,-0.254394426463976,1.0,1.3979400086720377,8.745605573536023
27,0.934,342.3807692307692,0.14797053550212821,138.879,20.34594863154263,0.06970373638,767.3594801330888,0.0010697037359999999,10.0,0.49149834107498186,0.6372307692307686,108.9268072775432,1.75,1.9401721398035685,1.308477943677618,-0.8298247544886636,2.142636580700753,-1.1567439414755283,2.8849988628591547,-0.308477943677618,1.0,1.3979400086720377,8.691522056322382
28,0.934,344.9448717948718,0.17804892417864543,152.767,24.481727074563747,0.0584929492,904.8484740644258,0.001058492949,10.0,0.40846791443851577,0.2851282051282169,116.44582574453143,1.81,2.1465214848518372,1.388842052055861,-0.7494606461104203,2.184029550144605,-1.232896481064509,2.9565758583351616,-0.3888420520558612,1.0,1.3979400086720377,8.61115794794414
29,0.934,347.50897435897434,0.2460891043820394,163.965,33.83725185253042,0.05367831155,981.5232627396405,0.001053678312,10.0,0.2955322744170248,0.015025641025658842,121.72589848430445,1.88,2.3322940190633137,1.5293950838662052,-0.6089076143000762,2.2147511533581774,-1.2702011533467128,2.991900597119659,-0.5293950838662052,1.0,1.3979400086720377,8.470604916133794
30,0.934,350.0730769230769,,,,,,,10.0,,,123.49922994350652,1.94,2.443284785747528,,,,,,,,,
31,0.934,352.6371794871795,,,,,,,10.0,,,123.34380494356157,2.0,2.517220509052277,,,,,,,,,
32,0.934,355.201282051282,,,,,,,10.0,,,123.32934979034472,2.06,2.594021447499593,,,,,,,,,
33,0.934,357.7653846153846,,,,,,,10.0,,,123.07272331347254,2.12,2.6656535903612775,,,,,,,,,
34,0.934,360.32948717948716,,,,,,,10.0,,,122.27981906358146,2.19,2.7378877798716226,,,,,,,,,
35,0.934,362.8935897435897,,,,,,,10.0,,,122.27899188465543,2.25,2.814605951309204,,,,,,,,,
36,0.934,365.4576923076923,,,,,,,10.0,,,122.54444659286074,2.31,2.8977139075597127,,,,,,,,,
37,0.934,368.02179487179484,,,,,,,10.0,,,121.7721181927609,2.38,2.9688346783320108,,,,,,,,,
38,0.934,370.58589743589744,,,,,,,10.0,,,121.57544316893718,2.44,3.0406322399775187,,,,,,,,,
39,0.934,373.15,,,,,,,10.0,,,121.39713383913039,2.5,3.112747021516164,,,,,,,,,
40,0.9394615384615385,273.15,,,,,,,10.0,,,119.2073690339923,2.56,3.1318849007288616,,,,,,,,,
41,0.9394615384615385,275.7141025641025,,,,,,,10.0,,,117.07862348638417,2.62,3.149989664554596,,,,,,,,,
42,0.9394615384615385,278.2782051282051,,,,,,,10.0,,,114.61050594665453,2.69,3.168248494466146,,,,,,,,,
43,0.9394615384615385,280.84230769230766,,,,,,,10.0,,,112.70429793343399,2.75,3.1870109955469768,,,,,,,,,
44,0.9394615384615385,283.40641025641025,,,,,,,10.0,,,110.8674606627558,2.81,3.2054487546284993,,,,,,,,,
45,0.9394615384615385,285.9705128205128,,,,,,,10.0,,,108.74428831537567,2.88,3.224707067012787,,,,,,,,,
46,0.9394615384615385,288.53461538461534,,,,,,,10.0,,,107.08916432349321,2.94,3.2437888224919638,,,,,,,,,
47,0.9394615384615385,291.09871794871793,,,,,,,10.0,,,105.9041627407074,3.0,3.2753864765167235,,,,,,,,,
48,0.9394615384615385,293.6628205128205,,,,,,,10.0,,,104.35266398090162,3.06,3.293987536430359,,,,,,,,,
49,0.9394615384615385,296.2269230769231,,,,,,,10.0,,,102.8746218737374,3.12,3.3130555351575217,,,,,,,,,
50,0.9394615384615385,298.7910256410256,,,,,,,10.0,,,101.12176248145329,3.19,3.3320774952570598,,,,,,,,,
51,0.9394615384615385,301.3551282051282,,,,,,,10.0,,,99.73590714014493,3.25,3.3503017902374266,,,,,,,,,
52,0.9394615384615385,303.91923076923075,,,,,,,10.0,,,98.42823204421566,3.31,3.3695050994555156,,,,,,,,,
53,0.9394615384615385,306.4833333333333,,,,,,,10.0,,,96.87266903706558,3.38,3.3888389706611632,,,,,,,,,
54,0.9394615384615385,309.0474358974359,,,,,,,10.0,,,95.64976058680881,3.44,3.407572249571482,,,,,,,,,
55,0.9394615384615385,311.61153846153843,,,,,,,10.0,,,94.4783837727138,3.5,3.426677131652832,,,,,,,,,
56,0.9394615384615385,314.175641025641,,,,,,,10.0,,,93.35723368509878,3.56,3.44620232184728,,,,,,,,,
57,0.9394615384615385,316.73974358974357,,,,,,,10.0,,,92.25794961366864,3.62,3.4651771903038027,,,,,,,,,
58,0.9394615384615385,319.30384615384617,0.22757835936682996,19.334,31.292024412939117,0.03146098752,156.32032854209444,0.002937239763,10.0,0.3195702479340084,0.16015384615383255,95.50782128073875,3.69,3.6592655022939047,1.4954336603954308,-0.6428690377708506,1.2863217142568693,-1.5022276495526623,2.194015459142538,-0.4954336603954309,1.0,1.3979400086720377,8.504566339604569
59,0.9394615384615385,321.8679487179487,0.15327549737902232,32.621,21.07538088961557,0.05240387752,150.30800821355228,0.004578677299,10.0,0.47448727272716956,0.01605128205130768,100.06797243489159,3.75,3.8987521727879844,1.323775432253528,-0.8145272659127534,1.5134972702488667,-1.2806365770766481,2.1769821198437573,-0.3237754322535281,1.0,1.3979400086720377,8.676224567746472
60,0.9394615384615385,324.43205128205125,0.10719866274210149,55.038,14.739816127038955,0.05560763699,162.3326488706365,0.005629299261,10.0,0.6784345146379295,0.2779487179487319,105.64260816577226,3.81,4.184409368038177,1.1684920659171691,-0.9698106322491125,1.7406626438912405,-1.2548655595896725,2.210405875330707,-0.1684920659171691,1.0,1.3979400086720377,8.83150793408283
