,dist,temp,dTdP,pco20,gamma,popDeath,declineTime,peakPopList,carryCapList,anthroPopList,tempError,timeLeftMin,percentDone,timeElapsedMinutes,logGamma,logdTdP,logpco20,logpopDeath,logdeclineTime,logAnthroPop,normCollapseTime,logCollapseTime,logAnthroPopPpl
1165,1.0923846153846153,285.9705128205128,0.00023054363687375758,68099.906,0.03169975007014166,183.5093158,206.42299794661199,9.406197297999999,10.0,315.45990040530654,0.678487179487206,149.79826328692926,72.88,402.55521490971245,-1.4989441618701422,-3.6372468600364236,4.833146512445686,2.2636581159877855,2.3147580811572297,2.498944161870142,31.54599004053066,2.89688417054218,11.498944161870142
1166,1.0923846153846153,288.53461538461534,-0.0007609141501820257,78655.391,-0.10462569565002854,131.7986762,197.4045174537987,9.567234155,10.0,-95.57881491607814,0.20538461538467345,149.48332358390496,72.94,402.93102816740674,,,4.895728494299611,2.1199110481796724,2.295357086949669,,1.0,1.3979400086720377,
1167,1.0923846153846153,291.09871794871793,0.00017606485423746625,92863.508,0.024208917457651608,96.91734326,260.5338809034906,9.632135679000001,10.0,413.0709279955574,0.315282051282054,149.1564976357434,73.0,403.2749750892321,-1.6160246303302528,-3.7543273284965344,4.967845085492834,1.986401500561052,2.415864208758894,2.616024630330253,41.30709279955574,3.0139646390022903,11.616024630330253
1168,1.0923846153846153,293.6628205128205,0.00013349370970965746,112364.845,0.0183553850850779,63.1492593,332.68172484599586,9.747094062,10.0,544.7992484848247,0.7361794871795269,148.83987646999992,73.06,403.64667315880456,-1.7362364998241142,-3.8745391979903956,5.050630457046096,1.8003682609276235,2.5220289444921127,2.736236499824114,54.47992484848247,3.134176508496152,11.736236499824114
1169,1.0923846153846153,296.2269230769231,0.00013227298465405215,126632.056,0.01818753538993217,65.20664303,334.68583162217647,9.729162109,10.0,549.8271088195692,0.14007692307694697,148.5132139028553,73.12,403.99130210479103,-1.740226148604049,-3.8785288467703305,5.10254365814317,1.8142918424237693,2.5246373275996405,2.740226148604049,54.98271088195691,3.1381661572760864,11.74022614860405
1170,1.0923846153846153,298.7910256410256,0.00010866388015494198,153224.788,0.014941283521304524,49.41122079,410.8418891170429,9.743263976,10.0,669.2865432706078,0.7679743589744135,148.12175028432222,73.19,404.3651959458987,-1.8256120931312891,-3.9639147912975705,5.185329029139868,1.693825584021191,2.6136747175078114,2.825612093131289,66.92865432706078,3.223552101803327,11.825612093131289
1171,1.0923846153846153,301.3551282051282,9.673695859871382e-05,177284.879,0.01330133180732315,42.03767416,468.9609856262832,9.792140727,10.0,751.8044166445364,0.6468717948717995,147.8005655610792,73.25,404.72491317192714,-1.8761048727461316,-4.014407570912413,5.248671695291227,1.6236386795869273,2.6711367138622,2.8761048727461316,75.18044166445365,3.274044881418169,11.876104872746131
1172,1.0923846153846153,303.91923076923075,8.663741767866366e-05,204299.718,0.011912644930816252,37.36239143,526.5024475807154,9.791638172,10.0,839.4441417565864,0.5567692307692482,147.49167949165493,73.31,405.1185846209526,-1.9239918026372798,-4.062294500803561,5.310267767165348,1.5724346660487982,2.721400394454702,2.9239918026372798,83.94441417565865,3.3219318113093173,11.92399180263728
1173,1.0923846153846153,306.4833333333333,7.839642114127634e-05,230240.102,0.010779507906925495,30.70585365,628.4432706588996,9.836510573,10.0,927.686132460213,0.13866666666672245,147.09223740144617,73.38,405.47063788572945,-1.967401064583868,-4.105703762750149,5.3621809689918845,1.4872211756582958,2.7982660801894137,2.9674010645838678,92.76861324602132,3.3653410732559057,11.967401064583868
1174,1.0923846153846153,309.0474358974359,6.953754120409754e-05,265324.308,0.00956141191556341,26.15804456,746.6508429506647,9.848689578,10.0,1045.8706400592034,0.16056410256413756,146.77357979137653,73.44,405.83778990507125,-2.0194779715458893,-4.157780669712171,5.423777040207218,1.4176052752583774,2.8731175597412464,3.0194779715458893,104.58706400592035,3.4174179802179268,12.01947797154589
1175,1.0923846153846153,311.61153846153843,6.0914670654419836e-05,306986.803,0.008375767214982727,21.84093245,907.1993304925509,9.864625433999999,10.0,1193.9204783666642,0.30146153846158086,146.44933031359497,73.5,406.1896520018578,-2.076975401369011,-4.2152780995352925,5.487119706071751,1.339271175664803,2.95770272104233,3.076975401369011,119.39204783666642,3.474915410041049,12.076975401369012
1176,1.0923846153846153,314.175641025641,5.356652041028156e-05,353765.745,0.007365396556413714,17.79130371,1106.5621139435093,9.880833308,10.0,1357.7001487166497,0.40735897435899915,146.13027534256688,73.56,406.55609130859375,-2.1328038655727566,-4.271106563739038,5.548715778043151,1.2502077734528811,3.043975796921926,3.1328038655727566,135.77001487166498,3.530743874244794,12.132803865572756
1177,1.0923846153846153,316.73974358974357,4.6989785974613295e-05,408599.435,0.006461095571509328,14.64475641,1365.5037475034108,9.897640939,10.0,1547.7251325759255,0.5942564102564347,145.81985955717636,73.62,406.9468559741974,-2.18969383489666,-4.327996533062941,5.611297761766443,1.1656821523458758,3.135292896359911,3.18969383489666,154.77251325759255,3.5876338435686974,12.18969383489666
1178,1.0923846153846153,319.30384615384617,4.2129932599380346e-05,460480.205,0.0057928657324147976,12.19529723,1640.645730999875,9.911312319,10.0,1726.2613120900746,0.33715384615385346,145.42605102960383,73.69,407.31454581419626,-2.237106537502518,-4.3754092356687995,5.663210965598999,1.0861923896252128,3.215014812812964,3.237106537502518,172.62613120900747,3.6350465461745554,12.237106537502518
1179,1.0923846153846153,321.8679487179487,3.777538266004861e-05,518856.425,0.005194115115756684,11.3163948,1820.6223111451507,9.898656724,10.0,1925.255751391484,0.09105128205129631,145.11226911039677,73.75,407.69637511968614,-2.2844884294499006,-4.422791127616182,5.715047198972654,1.0537080904702245,3.2602198605680015,3.2844884294499,192.52557513914843,3.682428438121938,12.284488429449901
1180,1.0923846153846153,324.43205128205125,3.224894328763812e-05,613973.606,0.004434229702050241,8.746623432,2391.429703515081,9.920271580000001,10.0,2255.183125803413,0.8409487179487769,144.790639578453,73.81,408.056399667263,-2.353181813307905,-4.491484511474186,5.788149701735732,0.9418404292663268,3.3786576192350783,3.353181813307905,225.5183125803413,3.7511218219799427,12.353181813307906
