,dist,temp,dTdP,pco20,gamma,popDeath,declineTime,peakPopList,carryCapList,anthroPopList,tempError,timeLeftMin,percentDone,timeElapsedMinutes,logGamma,logdTdP,logpco20,logpopDeath,logdeclineTime,logAnthroPop
0,0.934,273.15,,,,,,,10.0,,,15.208319460021125,0.06,0.009130469957987468,,,,,,
1,0.934,275.7141025641025,,,,,,,10.0,,,21.563841689957513,0.12,0.025907699267069498,,,,,,
2,0.934,278.2782051282051,,,,,,,10.0,,,21.425197938868877,0.19,0.04078536828358968,,,,,,
3,0.934,280.84230769230766,,,,,,,10.0,,,22.2209419965744,0.25,0.05569158395131429,,,,,,
4,0.934,283.40641025641025,,,,,,,10.0,,,22.653046094602153,0.31,0.07044281562169392,,,,,,
5,0.934,285.9705128205128,,,,,,,10.0,,,22.3787652726759,0.38,0.0853636900583903,,,,,,
6,0.934,288.53461538461534,,,,,,,10.0,,,22.820136375499494,0.44,0.10085235039393108,,,,,,
7,0.934,291.09871794871793,,,,,,,10.0,,,23.31744838555654,0.5,0.11717310746510824,,,,,,
8,0.934,293.6628205128205,,,,,,,10.0,,,23.962668410369325,0.56,0.13494664430618286,,,,,,
9,0.934,296.2269230769231,,,,,,,10.0,,,24.222405893187368,0.62,0.15111583471298218,,,,,,
10,0.934,298.7910256410256,,,,,,,10.0,,,24.067079400440345,0.69,0.16721664269765218,,,,,,
11,0.934,301.3551282051282,,,,,,,10.0,,,24.183881771564483,0.75,0.1827497363090515,,,,,,
12,0.934,303.91923076923075,,,,,,,10.0,,,24.313596877786846,0.81,0.19854837656021118,,,,,,
13,0.934,306.4833333333333,,,,,,,10.0,,,24.30207948359576,0.88,0.21575696070988973,,,,,,
14,0.934,309.0474358974359,,,,,,,10.0,,,24.63643429558328,0.94,0.23378001451492308,,,,,,
15,0.934,311.61153846153843,,,,,,,10.0,,,24.690597224235535,1.0,0.2493999719619751,,,,,,
16,0.934,314.175641025641,,,,,,,10.0,,,24.651312131251924,1.06,0.26410340468088783,,,,,,
17,0.934,316.73974358974357,,,,,,,10.0,,,24.69190132958548,1.12,0.27968173027038573,,,,,,
18,0.934,319.30384615384617,,,,,,,10.0,,,24.517451669722384,1.19,0.2952714045842489,,,,,,
19,0.934,321.8679487179487,,,,,,,10.0,,,24.541192332903545,1.25,0.31064800421396893,,,,,,
20,0.934,324.43205128205125,,,,,,,10.0,,,25.07613004063832,1.31,0.33285773992538453,,,,,,
21,0.934,326.99615384615385,,,,,,,10.0,,,25.68775783408668,1.38,0.35945148865381876,,,,,,
22,0.934,329.5602564102564,,,,,,,10.0,,,26.241299954167122,1.44,0.3833956162134806,,,,,,
23,0.934,332.124358974359,0.1287750157391604,52.417,3.541312932826911,1.878695324,95.19507186858323,0.06633647461,10.0,2.823811447811628,0.0066410256409881185,36.649318750699365,1.5,0.5581114530563355,0.5491643054632915,-0.8901683883669711,1.7194721611979684,0.27385635443029455,1.9786144660769243,0.4508356945367086
24,0.934,334.6884615384615,0.11971705728632956,73.089,3.2922190753740623,2.015299754,94.19301848049281,0.07018130103,10.0,3.0374649350647474,0.04153846153849372,46.1161680740169,1.56,0.7308129032452901,0.517488726923109,-0.9218439669071536,1.8638520199294937,0.3043396518796613,1.974018714387775,0.482511273076891
25,0.934,337.25256410256407,0.12157303139262503,97.061,3.3432583632971884,1.906153289,95.19507186858323,0.06740264175999999,10.0,2.991093990755114,0.36643589743596294,56.3444041009793,1.62,0.9278098662694295,0.5241699396851845,-0.9151627541450781,1.987044761451188,0.2801578227923123,1.9786144660769243,0.47583006031481534
26,0.934,339.81666666666666,0.13064467965094906,120.556,3.592728690401099,1.438950828,100.20533880903486,0.05631782029,10.0,2.7833997113997437,0.7023333333333426,62.617760954453395,1.69,1.0764318585395813,0.5554244221279572,-0.8839082717023055,2.0811888298279198,0.15804595342712988,2.000890860788076,0.4445755778720428
27,0.934,342.3807692307692,0.14797053550212821,138.879,4.069189726308526,0.9369194524,107.21971252566732,0.0426147899,10.0,2.4574917053749092,0.6372307692307686,68.10489397219249,1.75,1.2130642692248026,0.6095079393415992,-0.8298247544886636,2.142636580700753,-0.02829774409819171,2.0302746384732857,0.3904920606584008
28,0.934,344.9448717948718,0.17804892417864543,152.767,4.896345414912749,0.4614374259,121.24845995893224,0.02674730079,10.0,2.042339572192579,0.2851282051282169,73.26433649800758,1.81,1.3505290667215983,0.6898720477198423,-0.7494606461104203,2.184029550144605,-0.3358871839747004,2.0836762311045263,0.3101279522801576
29,0.934,347.50897435897434,0.2460891043820394,163.965,6.767450370506084,0.1166202234,156.32032854209433,0.011378641719999999,10.0,1.4776613720851237,0.015025641025658842,77.39608457147654,1.88,1.4829253872235617,0.8304250795301864,-0.6089076143000762,2.2147511533581774,-0.9332261309711026,2.1940154591425376,0.16957492046981357
30,0.934,350.0730769230769,,,,,,,10.0,,,78.27513268608409,1.94,1.548580026626587,,,,,,
31,0.934,352.6371794871795,,,,,,,10.0,,,77.7653357466062,2.0,1.5870476682980856,,,,,,
32,0.934,355.201282051282,,,,,,,10.0,,,77.34465739711588,2.06,1.6268122752507528,,,,,,
33,0.934,357.7653846153846,,,,,,,10.0,,,76.80049835720901,2.12,1.6634353955586751,,,,,,
34,0.934,360.32948717948716,,,,,,,10.0,,,75.88583549754624,2.19,1.6991103132565817,,,,,,
35,0.934,362.8935897435897,,,,,,,10.0,,,75.47474767676107,2.25,1.7372704068819682,,,,,,
36,0.934,365.4576923076923,,,,,,,10.0,,,74.95009610422417,2.31,1.7722870508829753,,,,,,
37,0.934,368.02179487179484,,,,,,,10.0,,,74.42075433160078,2.38,1.8143965919812521,,,,,,
38,0.934,370.58589743589744,,,,,,,10.0,,,74.01695133682158,2.44,1.851182464758555,,,,,,
39,0.934,373.15,,,,,,,10.0,,,73.50139276981353,2.5,1.8846510966618857,,,,,,
40,0.9394615384615385,273.15,,,,,,,10.0,,,72.34913094192744,2.56,1.9007981856664022,,,,,,
41,0.9394615384615385,275.7141025641025,,,,,,,10.0,,,71.22479446043495,2.62,1.9162965854008993,,,,,,
42,0.9394615384615385,278.2782051282051,,,,,,,10.0,,,69.78057518266834,2.69,1.9289872288703918,,,,,,
43,0.9394615384615385,280.84230769230766,,,,,,,10.0,,,68.73822500488974,2.75,1.9437544345855713,,,,,,
44,0.9394615384615385,283.40641025641025,,,,,,,10.0,,,67.74881819225008,2.81,1.9587836106618246,,,,,,
45,0.9394615384615385,285.9705128205128,,,,,,,10.0,,,66.5946748152927,2.88,1.9748009006182352,,,,,,
46,0.9394615384615385,288.53461538461534,,,,,,,10.0,,,65.66226159128743,2.94,1.98894548813502,,,,,,
47,0.9394615384615385,291.09871794871793,,,,,,,10.0,,,64.73779805633757,3.0,2.002199939886729,,,,,,
48,0.9394615384615385,293.6628205128205,,,,,,,10.0,,,63.85083839132375,3.06,2.0155102690060933,,,,,,
49,0.9394615384615385,296.2269230769231,,,,,,,10.0,,,63.02321613008141,3.12,2.0296494046847027,,,,,,
50,0.9394615384615385,298.7910256410256,,,,,,,10.0,,,62.16662147381462,3.19,2.0484611352284747,,,,,,
51,0.9394615384615385,301.3551282051282,,,,,,,10.0,,,61.413073369172906,3.25,2.0629714568456015,,,,,,
52,0.9394615384615385,303.91923076923075,,,,,,,10.0,,,60.652477611947994,3.31,2.076323310534159,,,,,,
53,0.9394615384615385,306.4833333333333,,,,,,,10.0,,,59.74272250005245,3.38,2.0899441321690877,,,,,,
54,0.9394615384615385,309.0474358974359,,,,,,,10.0,,,59.073142232358926,3.44,2.104511280854543,,,,,,
55,0.9394615384615385,311.61153846153843,,,,,,,10.0,,,58.41381216333026,3.5,2.118635674317678,,,,,,
56,0.9394615384615385,314.175641025641,,,,,,,10.0,,,57.76357417562034,3.56,2.132292866706848,,,,,,
57,0.9394615384615385,316.73974358974357,,,,,,,10.0,,,57.15358920358601,3.62,2.146669360001882,,,,,,
58,0.9394615384615385,319.30384615384617,0.22757835936682996,19.334,6.258404882587823,0.985362438,101.20739219712527,0.039184842600000006,10.0,1.5978512396700424,0.16015384615383255,58.57359955725417,3.69,2.2441759149233502,0.7964636560594119,-0.6428690377708506,1.2863217142568693,-0.006403997044111883,2.005212234570719,0.20353634394058798
59,0.9394615384615385,321.8679487179487,0.15327549737902232,32.621,4.215076177923113,1.699964717,96.19712525667342,0.06146116621,10.0,2.372436363635848,0.01605128205130768,60.5032378964954,3.75,2.357269008954366,0.6248054279175093,-0.8145272659127534,1.5134972702488667,0.23043990763049654,1.9831620938276442,0.37519457208249074
60,0.9394615384615385,324.43205128205125,0.10719866274210149,55.038,2.9479632254077908,2.862995238,91.18685831622179,0.09316534113,10.0,3.3921725731896477,0.2779487179487319,62.802814338828846,3.81,2.4875633915265403,0.46952206158115023,-0.9698106322491125,1.7406626438912405,0.45682062566321835,1.9599322531091699,0.5304779384188498
61,0.9394615384615385,326.99615384615385,0.0841852802945944,82.556,2.3150952081013463,4.196233198,87.17864476386035,0.1245226197,10.0,4.319476782210262,0.3248461538461811,65.04271257611894,3.88,2.6255277236302694,0.3645688560463312,-1.0747638377839315,1.9167486423740787,0.6228596153152304,1.9404101134066947,0.6354311439536687
62,0.9394615384615385,329.5602564102564,0.07211410053238779,112.322,1.983137764640664,5.445029398,84.17248459958932,0.1506885279,10.0,5.0425140291814055,0.09974358974363895,67.36965076814448,3.94,2.7632357279459634,0.2973528848281183,-1.1419798090021442,2.050464827880733,0.736000228876865,1.925170146849958,0.7026471151718817
63,0.9394615384615385,332.124358974359,0.06659441390387205,153.166,1.8313463823564813,6.527570052,82.16837782340849,0.1715805135,10.0,5.460463458110267,0.3386410256410386,70.83167848587037,4.0,2.9513199369112653,0.2627704948853888,-1.1765621989448738,2.185162370706811,0.8147515412431703,1.9147047131717922,0.7372295051146112
